open,Close,high,low,volume,time
8.353,8.382,8.395,8.352,38169.00,2024-03-30 23:30:00+00:00
8.387,8.352,8.403,8.352,42552.00,2024-03-30 23:00:00+00:00
8.403,8.387,8.404,8.367,40331.00,2024-03-30 22:30:00+00:00
8.388,8.404,8.405,8.361,39908.00,2024-03-30 22:00:00+00:00
8.394,8.387,8.403,8.351,39649.00,2024-03-30 21:30:00+00:00
8.396,8.395,8.408,8.374,38506.00,2024-03-30 21:00:00+00:00
8.417,8.396,8.417,8.386,40562.00,2024-03-30 20:30:00+00:00
8.426,8.417,8.433,8.398,40156.00,2024-03-30 20:00:00+00:00
8.434,8.426,8.445,8.403,44956.00,2024-03-30 19:30:00+00:00
8.466,8.433,8.466,8.382,56316.00,2024-03-30 19:00:00+00:00
8.533,8.471,8.550,8.436,68525.00,2024-03-30 18:30:00+00:00
8.546,8.533,8.547,8.509,42068.00,2024-03-30 18:00:00+00:00
8.530,8.547,8.551,8.521,40403.00,2024-03-30 17:30:00+00:00
8.602,8.529,8.607,8.496,80776.00,2024-03-30 17:00:00+00:00
8.555,8.604,8.611,8.534,52145.00,2024-03-30 16:30:00+00:00
8.568,8.556,8.582,8.522,55608.00,2024-03-30 16:00:00+00:00
8.579,8.569,8.597,8.557,45879.00,2024-03-30 15:30:00+00:00
8.641,8.580,8.650,8.565,55248.00,2024-03-30 15:00:00+00:00
8.659,8.642,8.669,8.618,44164.00,2024-03-30 14:30:00+00:00
8.679,8.659,8.684,8.611,44202.00,2024-03-30 14:00:00+00:00
8.671,8.680,8.687,8.631,42480.00,2024-03-30 13:30:00+00:00
8.704,8.671,8.707,8.670,43572.00,2024-03-30 13:00:00+00:00
8.701,8.704,8.715,8.692,46842.00,2024-03-30 12:30:00+00:00
8.716,8.700,8.725,8.683,48311.00,2024-03-30 12:00:00+00:00
8.678,8.717,8.720,8.678,43250.00,2024-03-30 11:30:00+00:00
8.663,8.678,8.696,8.662,39373.00,2024-03-30 11:00:00+00:00
8.648,8.662,8.671,8.617,47050.00,2024-03-30 10:30:00+00:00
8.708,8.647,8.712,8.611,55552.00,2024-03-30 10:00:00+00:00
8.708,8.709,8.732,8.691,38143.00,2024-03-30 09:30:00+00:00
8.740,8.709,8.741,8.698,41313.00,2024-03-30 09:00:00+00:00
8.745,8.740,8.749,8.691,41457.00,2024-03-30 08:30:00+00:00
8.714,8.746,8.754,8.700,45608.00,2024-03-30 08:00:00+00:00
8.731,8.713,8.753,8.709,40139.00,2024-03-30 07:30:00+00:00
8.761,8.731,8.784,8.725,40778.00,2024-03-30 07:00:00+00:00
8.804,8.760,8.804,8.728,43648.00,2024-03-30 06:30:00+00:00
8.797,8.804,8.809,8.756,43183.00,2024-03-30 06:00:00+00:00
8.786,8.797,8.808,8.772,44219.00,2024-03-30 05:30:00+00:00
8.800,8.787,8.843,8.786,54399.00,2024-03-30 05:00:00+00:00
8.784,8.800,8.802,8.749,45694.00,2024-03-30 04:30:00+00:00
8.719,8.785,8.792,8.712,37760.00,2024-03-30 04:00:00+00:00
8.748,8.720,8.762,8.713,39894.00,2024-03-30 03:30:00+00:00
8.752,8.748,8.775,8.737,36878.00,2024-03-30 03:00:00+00:00
8.751,8.752,8.764,8.739,35580.00,2024-03-30 02:30:00+00:00
8.771,8.751,8.777,8.730,43240.00,2024-03-30 02:00:00+00:00
8.768,8.771,8.787,8.750,42042.00,2024-03-30 01:30:00+00:00
