open,Close,high,low,volume,time
5.303,5.307,5.307,5.303,1650.00,2024-05-03 23:00:00+00:00
5.308,5.305,5.313,5.296,37101.00,2024-05-03 22:30:00+00:00
5.289,5.307,5.315,5.276,44735.00,2024-05-03 22:00:00+00:00
5.290,5.289,5.295,5.265,49816.00,2024-05-03 21:30:00+00:00
5.322,5.290,5.330,5.284,44678.00,2024-05-03 21:00:00+00:00
5.321,5.321,5.356,5.306,54977.00,2024-05-03 20:30:00+00:00
5.237,5.321,5.326,5.221,57223.00,2024-05-03 20:00:00+00:00
5.239,5.237,5.239,5.206,41680.00,2024-05-03 19:30:00+00:00
5.265,5.239,5.266,5.215,45130.00,2024-05-03 19:00:00+00:00
5.259,5.266,5.277,5.238,40489.00,2024-05-03 18:30:00+00:00
5.293,5.259,5.304,5.243,41327.00,2024-05-03 18:00:00+00:00
5.308,5.295,5.312,5.278,40187.00,2024-05-03 17:30:00+00:00
5.290,5.310,5.312,5.270,43894.00,2024-05-03 17:00:00+00:00
5.317,5.290,5.330,5.281,50776.00,2024-05-03 16:30:00+00:00
5.309,5.316,5.355,5.300,60424.00,2024-05-03 16:00:00+00:00
5.267,5.308,5.330,5.259,54907.00,2024-05-03 15:30:00+00:00
5.218,5.265,5.272,5.204,60849.00,2024-05-03 15:00:00+00:00
5.233,5.217,5.274,5.200,79830.00,2024-05-03 14:30:00+00:00
5.205,5.232,5.253,5.200,82419.00,2024-05-03 14:00:00+00:00
5.172,5.206,5.233,5.167,76088.00,2024-05-03 13:30:00+00:00
5.102,5.173,5.173,5.096,82483.00,2024-05-03 13:00:00+00:00
4.949,5.101,5.110,4.946,117412.00,2024-05-03 12:30:00+00:00
4.927,4.949,4.958,4.912,55045.00,2024-05-03 12:00:00+00:00
4.925,4.928,4.945,4.906,40604.00,2024-05-03 11:30:00+00:00
4.904,4.925,4.927,4.882,51442.00,2024-05-03 11:00:00+00:00
4.947,4.903,4.949,4.875,59506.00,2024-05-03 10:30:00+00:00
4.955,4.947,4.955,4.932,37187.00,2024-05-03 10:00:00+00:00
4.943,4.955,4.970,4.938,40318.00,2024-05-03 09:30:00+00:00
4.926,4.942,4.953,4.918,40544.00,2024-05-03 09:00:00+00:00
4.936,4.926,4.948,4.921,40626.00,2024-05-03 08:30:00+00:00
