time,open,high,low,Close,Volume,Close Time,Quote asset volume,Number of Trades,Taker Volume,Maker Volume,Nothing
2021-05-30 02:00:00,9.501,9.591,9.408,9.55,44777.04600000,1622340899999,425992.85281600,603,26683.80500000,254285.68057500,0
2021-05-30 01:45:00,9.379,9.524,9.379,9.498,21618.23600000,1622339999999,204791.58987600,486,12039.14000000,114060.14705600,0
2021-05-30 01:30:00,9.491,9.55,9.343,9.387,90253.65600000,1622339099999,851977.48922400,1152,54511.77300000,515220.47499100,0
2021-05-30 01:15:00,9.478,9.565,9.402,9.492,56679.34800000,1622338199999,536528.94000100,1001,30904.93900000,292745.93932400,0
2021-05-30 01:00:00,9.536,9.653,9.413,9.478,97986.10800000,1622337299999,933540.15478300,1496,35639.72700000,340374.16859900,0
2021-05-30 00:45:00,9.339,9.537,9.3,9.537,102748.28500000,1622336399999,965502.93867500,1205,51619.30900000,486900.53232500,0
2021-05-30 00:30:00,9.602,9.651,9.312,9.349,153595.49800000,1622335499999,1448547.41638200,1977,79364.39100000,749035.07142900,0
2021-05-30 00:15:00,9.753,9.851,9.5,9.602,109626.57200000,1622334599999,1055989.58942200,2117,61849.66400000,596093.22845200,0
2021-05-30 00:00:00,9.987,9.989,9.694,9.768,126919.02100000,1622333699999,1245614.21331400,1918,60055.69600000,588861.05348600,0
2021-05-29 23:45:00,10.194,10.211,9.951,9.971,183101.41400000,1622332799999,1834354.07927600,2255,113456.68800000,1135775.21169900,0
2021-05-29 23:30:00,10.208,10.379,10.169,10.181,155836.67100000,1622331899999,1603171.59514700,1559,75463.11400000,776593.95256800,0
2021-05-29 23:15:00,9.912,10.257,9.902,10.207,185657.16900000,1622330999999,1874945.38975800,1790,106850.39500000,1080778.81806400,0
2021-05-29 23:00:00,9.901,9.922,9.8,9.901,107846.06300000,1622330099999,1061571.84418900,1465,39313.10500000,387636.55946400,0
2021-05-29 22:45:00,9.814,9.908,9.704,9.896,103713.90800000,1622329199999,1015858.23436900,1253,51154.78800000,501542.27947000,0
