time,open,high,low,Close,Volume,Close Time,Quote asset volume,Number of Trades,Taker Volume,Maker Volume,Nothing
2021-01-30 01:00:00,3.7046,3.7977,3.6961,3.7926,117200.65000000,1611969299999,440594.09230300,702,83419.98000000,313608.52718000,0
2021-01-30 00:45:00,3.6727,3.735,3.672,3.7136,56400.25000000,1611968399999,209664.00983700,371,40570.96000000,150939.19109500,0
2021-01-30 00:30:00,3.7184,3.7264,3.6661,3.6816,29927.44000000,1611967499999,110631.43451300,350,11899.73000000,43973.33910800,0
2021-01-30 00:15:00,3.7039,3.7266,3.678,3.7186,47951.25000000,1611966599999,177529.81826700,367,22472.40000000,83370.11169700,0
2021-01-30 00:00:00,3.6358,3.7399,3.629,3.7077,92796.85000000,1611965699999,342518.13106400,717,51504.20000000,189781.76277900,0
2021-01-29 23:45:00,3.6165,3.6493,3.5945,3.6329,49261.17000000,1611964799999,178990.86187200,632,29220.93000000,106342.20164000,0
2021-01-29 23:30:00,3.6007,3.6473,3.5752,3.6103,64109.26000000,1611963899999,232110.34999200,422,25338.95000000,91676.64761900,0
2021-01-29 23:15:00,3.5258,3.6493,3.512,3.6,154224.10000000,1611962999999,553416.12538200,1128,74470.88000000,267285.97901900,0
2021-01-29 23:00:00,3.5229,3.547,3.47,3.5258,70902.88000000,1611962099999,248968.78490100,456,34266.01000000,120444.03637800,0
2021-01-29 22:45:00,3.5495,3.5678,3.4811,3.5219,44021.94000000,1611961199999,154718.91841200,573,15664.64000000,55124.34753900,0
2021-01-29 22:30:00,3.5136,3.5512,3.4901,3.5465,63522.73000000,1611960299999,223612.10892000,508,26292.69000000,92646.73265000,0
2021-01-29 22:15:00,3.595,3.595,3.497,3.5137,180612.45000000,1611959399999,639375.94188400,1153,97327.87000000,344847.67539600,0
2021-01-29 22:00:00,3.6033,3.6493,3.5743,3.595,137597.35000000,1611958499999,496781.22529100,930,71277.17000000,257559.49527200,0
2021-01-29 21:45:00,3.5237,3.6269,3.5104,3.6033,110664.95000000,1611957599999,394976.17714500,881,72452.61000000,258070.82100900,0
2021-01-29 21:30:00,3.5228,3.5302,3.4634,3.5236,91458.77000000,1611956699999,319622.25866700,983,35857.44000000,125356.26744100,0
2021-01-29 21:15:00,3.4409,3.5486,3.4409,3.5256,79460.79000000,1611955799999,278760.18750200,769,46237.12000000,162379.86572200,0
2021-01-29 21:00:00,3.403,3.5,3.375,3.4509,161398.43000000,1611954899999,556923.95018400,954,85358.86000000,294621.21502200,0
2021-01-29 20:45:00,3.3925,3.4597,3.391,3.4,385480.73000000,1611953999999,1315043.22576500,1289,283728.57000000,967164.26496100,0
2021-01-29 20:30:00,3.3462,3.3947,3.3374,3.391,68932.56000000,1611953099999,232868.40658900,613,39226.96000000,132491.65585700,0
2021-01-29 20:15:00,3.2551,3.3708,3.2551,3.3481,94934.54000000,1611952199999,315329.76840600,686,52851.73000000,175626.26652600,0
2021-01-29 20:00:00,3.2528,3.264,3.22,3.2478,34627.97000000,1611951299999,112470.96185600,191,11691.22000000,37969.04330800,0
2021-01-29 19:45:00,3.2391,3.2581,3.1936,3.2476,21205.05000000,1611950399999,68362.01498900,207,12164.32000000,39299.00149700,0
2021-01-29 19:30:00,3.2115,3.2465,3.1927,3.2413,43710.40000000,1611949499999,141118.60097000,216,28873.84000000,93312.43094100,0
2021-01-29 19:15:00,3.2192,3.223,3.1853,3.2168,24021.09000000,1611948599999,76993.51872400,191,10521.92000000,33763.83758100,0
2021-01-29 19:00:00,3.2113,3.2418,3.1978,3.22,55833.71000000,1611947699999,179679.13583900,319,37447.39000000,120540.81765500,0
2021-01-29 18:45:00,3.1983,3.2282,3.1496,3.2153,107646.72000000,1611946799999,342186.05311200,579,58130.66000000,184722.92859300,0
2021-01-29 18:30:00,3.2734,3.2783,3.1897,3.2001,147038.75000000,1611945899999,475853.24044400,759,89050.59000000,287958.18459400,0
2021-01-29 18:15:00,3.2717,3.2888,3.2611,3.2792,22894.70000000,1611944999999,74943.39839700,298,14405.46000000,47178.26534100,0
2021-01-29 18:00:00,3.3052,3.3173,3.2636,3.2807,43581.30000000,1611944099999,143673.44027300,221,23245.42000000,76718.23463100,0
2021-01-29 17:45:00,3.3252,3.3333,3.2772,3.31,24727.34000000,1611943199999,81613.99085300,262,11331.00000000,37449.37909200,0
2021-01-29 17:30:00,3.3116,3.3557,3.3087,3.3346,39683.89000000,1611942299999,132258.22717000,366,27664.53000000,92221.89013400,0
2021-01-29 17:15:00,3.2888,3.3286,3.2758,3.3142,22750.16000000,1611941399999,75290.85603800,181,15784.47000000,52249.54457900,0
2021-01-29 17:00:00,3.2934,3.3123,3.2643,3.2798,33895.65000000,1611940499999,111402.26969000,303,18481.59000000,60820.44588000,0
2021-01-29 16:45:00,3.3503,3.366,3.2524,3.2979,140622.66000000,1611939599999,464343.94015200,1155,57501.82000000,189623.83613500,0
2021-01-29 16:30:00,3.3945,3.4,3.3383,3.3502,123147.94000000,1611938699999,414204.84248400,894,83445.49000000,280673.86090300,0
2021-01-29 16:15:00,3.3372,3.4,3.3263,3.3945,250293.60000000,1611937799999,846871.67103900,1621,152858.57000000,517784.77292800,0
2021-01-29 16:00:00,3.2613,3.3697,3.2613,3.3294,173416.77000000,1611936899999,577913.45406900,1158,95357.31000000,317734.86571000,0
2021-01-29 15:45:00,3.2227,3.291,3.2213,3.2675,86224.36000000,1611935999999,280637.39653500,538,38831.48000000,126543.16365500,0
2021-01-29 15:30:00,3.2226,3.2253,3.183,3.2253,31177.79000000,1611935099999,99977.29192400,360,17335.49000000,55659.15777900,0
2021-01-29 15:15:00,3.2355,3.2355,3.2,3.2226,42701.64000000,1611934199999,137288.74516800,306,15475.28000000,49826.89160500,0
2021-01-29 15:00:00,3.2338,3.2506,3.2073,3.2356,82235.40000000,1611933299999,265700.89977500,548,46307.13000000,149653.10577000,0
2021-01-29 14:45:00,3.1818,3.2745,3.1761,3.2399,100864.95000000,1611932399999,325576.13566500,901,37658.64000000,121588.35014400,0
2021-01-29 14:30:00,3.1485,3.2418,3.0902,3.1732,113754.50000000,1611931499999,359331.66756000,997,69225.03000000,218914.24157600,0
2021-01-29 14:15:00,3.1463,3.1564,3.1175,3.1485,36822.87000000,1611930599999,115365.43015100,235,14778.50000000,46389.46934300,0
2021-01-29 14:00:00,3.1376,3.1599,3.114,3.1503,47286.24000000,1611929699999,148689.49697300,276,31258.74000000,98338.57922600,0
